iter	Passed	Remaining
0	3	669
1	6	671
2	10	663
3	15	738
4	18	717
5	21	702
6	24	666
7	27	662
8	30	655
9	34	650
10	37	645
11	40	639
12	44	636
13	47	631
14	50	626
15	53	619
16	59	637
17	63	638
18	66	635
19	69	629
20	73	624
21	76	618
22	79	613
23	83	610
24	86	606
25	90	604
26	93	599
27	96	594
28	99	587
29	102	581
30	105	575
31	108	570
32	111	565
33	114	560
34	117	554
35	120	549
36	123	544
37	126	538
38	129	532
39	132	528
40	134	523
41	137	518
42	140	513
43	143	508
44	146	503
45	148	498
46	151	494
47	154	489
48	157	485
49	160	480
50	163	476
51	165	472
52	168	467
53	171	463
54	174	458
55	176	454
56	179	450
57	182	446
58	185	443
59	188	439
60	191	435
61	193	431
62	196	428
63	199	424
64	202	421
65	205	417
66	208	414
67	211	410
68	214	407
69	217	403
70	220	399
71	222	396
72	225	392
73	228	389
74	231	385
75	234	382
76	236	378
77	239	374
78	243	372
79	246	369
80	248	365
81	251	362
82	254	358
83	257	355
84	260	352
85	263	349
86	266	345
87	269	342
88	272	339
89	275	336
90	277	332
91	280	329
92	283	326
93	286	323
94	289	319
95	292	316
96	294	313
97	297	309
98	300	306
99	303	303
100	306	300
101	309	297
102	312	293
103	314	290
104	317	287
105	320	284
106	323	281
107	326	277
108	329	275
109	332	271
110	335	268
111	337	265
112	340	262
113	343	259
114	346	256
115	349	252
116	352	249
117	354	246
118	357	243
119	360	240
120	363	237
121	365	233
122	368	230
123	371	227
124	374	224
125	376	221
126	380	218
127	383	215
128	385	212
129	388	209
130	391	206
131	394	203
132	397	200
133	399	196
134	403	194
135	405	191
136	408	187
137	411	184
138	414	181
139	416	178
140	419	175
141	422	172
142	425	169
143	427	166
144	430	163
145	433	160
146	436	157
147	438	154
148	441	151
149	444	148
150	447	145
151	450	142
152	452	139
153	455	136
154	458	133
155	461	130
156	464	127
157	466	124
158	469	121
159	472	118
160	475	115
161	478	112
162	480	109
163	483	106
164	486	103
165	489	100
166	492	97
167	495	94
168	497	91
169	501	88
170	504	85
171	508	82
172	511	79
173	514	76
174	517	73
175	520	70
176	523	67
177	526	65
178	528	62
179	531	59
180	534	56
181	537	53
182	539	50
183	542	47
184	545	44
185	548	41
186	551	38
187	553	35
188	556	32
189	559	29
190	562	26
191	564	23
192	567	20
193	570	17
194	573	14
195	576	11
196	579	8
197	582	5
198	584	2
199	588	0
